Customer_ID,Product_ID,Staff_ID,Date,Quantity,UnitPrice,StoreLocation,PaymentType,PromotionApplied,Weather,Temperature,StaffPerformanceRating,CustomerFeedback,DeliveryTime_min,OrderType,DayOfWeek,TotalSales,ProductName,CustomerName,CustomerAddress,Customer_PhoneNumber,CustomerEmail,Staff_Name,Staff_Email
0,0,0,2023-01-01 00:00:00,2,12.532304149429804,South,Cash,True,Rainy,20.654913930695127,Poor,Neutral,30,In Store,Sunday,25.064608298859607,Vanilla Cake,William Adams,"9851 David Green
Tonyaburgh, VA 02853",(916)427-7276x861,lisa00@example.net,John Bridges,pdavidson@example.com
1,1,1,2023-01-01 01:00:00,1,7.083069895947755,South,Cash,False,Rainy,23.54949697205013,Average,Positive,33,In Store,Sunday,7.083069895947755,Red Velvet Cake,Anthony Wiggins,"24682 Holly Stravenue
Mooreville, NH 13901",769.318.4373,michellefernandez@example.com,Sarah Bentley,ajohnson@example.net
2,2,2,2023-01-01 02:00:00,5,6.736064100180581,North,Cash,True,Rainy,27.154342182681738,Excellent,Unknown,43,Phone Order,Sunday,33.68032050090291,Chocolate Cake,Ashley Duke,"10184 Washington Trace Apt. 679
East Brandistad, OR 87389",702.520.3286,cooperwilliam@example.com,Connie Cervantes,michele29@example.net
3,3,3,2023-01-01 03:00:00,2,7.314823479246191,North,Cash,False,Cloudy,20.13748325275725,Poor,Positive,32,Online Order,Sunday,14.629646958492382,Carrot Cake,Brandon Taylor,"87194 Jeff Rue
Mitchellbury, CA 50463",622-527-9530,fsilva@example.net,Jessica Stewart,xwilson@example.org
4,4,4,2023-01-01 04:00:00,1,7.577727219906418,East,Credit Card,True,Cloudy,23.02098654190831,Good,Neutral,58,In Store,Sunday,7.577727219906418,Pizza Pepperoni,Brittany Watkins,"850 Julia Groves
Hartview, WI 95954",759-517-8359,petersjoseph@example.net,Cheryl Carpenter,christine96@example.org
5,1,5,2023-01-01 05:00:00,2,14.568156389954508,West,Cash,True,Rainy,27.154342182681738,Poor,Neutral,30,Phone Order,Sunday,29.136312779909016,Red Velvet Cake,Curtis Cummings,"25468 Eric Causeway Suite 343
East Steven, SC 48548",(647)294-0826,stephanie69@example.net,Jessica Coleman,sandra03@example.org
6,1,6,2023-01-01 06:00:00,3,16.114718754118677,North,Credit Card,False,Cloudy,29.201027697832565,Excellent,Unknown,15,In Store,Sunday,48.34415626235603,Red Velvet Cake,Haley Wilcox,"PSC 3319, Box 1711
APO AE 54478",001-345-422-5023,sharon86@example.net,Kelly Johnston,edwardsaaron@example.org
7,3,7,2023-01-01 07:00:00,5,12.94987284389628,West,Online,False,Sunny,27.154342182681738,Average,Positive,16,Online Order,Sunday,64.74936421948141,Carrot Cake,Tara Martinez,"49488 Rachel Port
Anthonybury, FL 31446",267.413.3199x19807,Unknown,Rebecca George,michaelperez@example.org
8,3,8,2023-01-01 08:00:00,4,17.435265988182366,East,Cash,True,Rainy,27.154342182681738,Poor,Neutral,29,Phone Order,Sunday,69.74106395272946,Carrot Cake,Sarah Carter,"74613 Hensley Crossroad Suite 746
Port Kelly, NH 40035",(742)946-6553x159,anthony69@example.org,Sara Aguilar,nicholasmullins@example.org
9,5,9,2023-01-01 09:00:00,2,19.8689484010045,West,Credit Card,False,Rainy,20.42287010670833,Average,Neutral,53,In Store,Sunday,39.737896802009,Pizza Margherita,Abigail Simon,"57371 Wilson Alley
Patriciaburgh, PA 36781",213.290.9906x79391,lawrence51@example.com,Michelle Pace,freemanjose@example.com
